"","rising_new$video_id"
"327","65144"
"328","39074"
"329","26546"
"330","19582"
"331","45359"
"332","36143"
"333","34488"
"334","43309"
"335","34962"
"336","22957"
"337","86655"
"338","49320"
"339","34380"
"340","53700"
"341","61847"
"342","18896"
"343","81199"
"344","28945"
"345","25098"
"346","16839"
"347","41048"
"348","31035"
"349","50141"
"350","27569"
"351","49722"
"352","21766"
"353","43172"
"354","46660"
"355","21513"
"356","9354"
"357","46732"
"358","10419"
"359","153855"
"360","55632"
"361","30358"
"362","42873"
"363","21845"
"364","116938"
"365","40086"
"366","30883"
"367","28486"
"368","14842"
"369","65590"
"370","41778"
"371","8095"
"372","39813"
"373","78889"
"374","74106"
"375","19549"
"376","95664"
"377","138701"
"378","32706"
"379","72627"
"380","64403"
"381","27021"
"382","31406"
"383","21465"
"384","64055"
"385","328348"
"386","36315"
"387","49806"
"388","11970"
"389","13938"
"390","40225"
"391","5178"
"392","8474"
"393","39329"
"394","35271"
"395","221405"
"396","28504"
"397","48729"
"398","52630"
"399","874"
"400","21431"
"401","20960"
"402","46005"
"403","17439"
"404","21262"
"405","42117"
"406","88711"
"407","13160"
"408","2448"
"409","78696"
"410","40384"
"411","89701"
"412","57614"
"413","20657"
"414","920"
"415","34177"
"416","43241"
"417","67931"
"418","62997"
"419","19403"
"420","48244"
"421","35269"
"422","48103"
"423","52430"
"424","6041"
"425","7462"
"426","72378"
"427","57933"
"428","974"
"429","46974"
"430","67762"
"431","94653"
"432","30435"
"433","15616"
"434","25589"
"435","47337"
"436","54161"
"437","378"
"438","41513"
"439","239"
"440","1934"
"441","83998"
"442","2844"
"443","98913"
"444","2841"
"445","473690"
"446","460"
"447","11690"
"448","272"
"449","3616"
"450","67484"
"451","2923"
"452","20935"
"453","56627"
"454","34830"
"455","1373"
"456","64970"
"457","63450"
"458","36771"
"459","22235"
"460","35769"
"461","50952"
"462","71682"
"463","2205"
"464","77340"
"465","3970"
"466","3280"
"467","20833"
"468","26136"
"469","30103"
"470","50372"
"471","25586"
"472","38770"
"473","39438"
"474","8242"
"475","47794"
"476","620"
"477","212844"
"478","39788"
"479","88596"
"480","14972"
"481","31019"
"482","34369"
"483","1075"
"484","225"
"485","41560"
"486","17309"
"487","450"
"488","2190"
"489","145"
"490","47686"
"491","135"
"492","6166"
"493","26485"
"494","204"
"495","10163"
"496","362"
"497","7739"
"498","925"
"499","29433"
"500","41451"
"501","104698"
"502","916792"
"503","47415"
"504","85976"
"505","131495"
"506","1277"
"507","88072"
"508","11064"
"509","1427344"
"510","108988"
"511","377120"
"512","okrmkg6akSc"
"513","iGnKNdzmgeU"
"514","Uhe8rwonIuk"
"515","y1q06bXsq8s"
"516","cZqraHQ2sK8"
"517","As4jp0Cgopo"
"518","Ms5qqlGRxy8"
"519","sfZFUclt7T8"
"520","6C6V0H0AaPc"
"521","6ZAFlqJQDdI"
"522","zTT4it_f7Jc"
"523","nvapf8dXckk"
"524","ooIVJ9Mpq_U"
"525","tJuwsu109YM"
"526","JicIaBHyLuw"
"527","8RYqf38uMkk"
"528","xfTA0eeDjm0"
"529","LovHY0Z25co"
"530","Pb0UZlEGnPg"
"531","oBfBTZ8mcmA"
"532","LzvkLDTScl4"
"533","acrsCMyJVT0"
"534","0vNhGXzRdzU"
"535","EQYHx7drUWE"
"536","UVowhJJuZv8"
"537","_W4vKT847h0"
"538","M9jkITpnDp4"
"539","V0o_7fusKxM"
"540","wRYVGFXDR7g"
"541","UTpbaJEHDS4"
"542","n_60oIqssVw"
"543","aRaFArSwG98"
"544","UXmhMVqkxno"
"545","L34DKFkK-i0"
"546","zRN7D0hVv60"
"547","m1r6nyt_4Co"
"548","sq7eR4NupcU"
"549","ua81imsvh2w"
"550","P8sPbEb4To8"
"551","ctpvJssLUqA"
"552","yTv1-ROl7xk"
"553","F0tAWaNEhU8"
"554","t7weljfsgl8"
"555","xHYsqVRw_iE"
"556","vHPel91HZYs"
"557","gkUVYQQ6pRU"
"558","XNtb-Enaz-Y"
"559","kMv9Ii_M5Oo"
"560","xXfGE37nqFc"
"561","ULfZnRSDRwg"
"562","jx1O7EH9Lzc"
"563","y_eVjrU_uow"
"564","jWSRfLkdtTE"
"565","-Jfj4QvPmn8"
"566","5dNKGfdKUOs"
"567","SCZqjY6QUQc"
"568","2p7ro7tnbMI"
"569","XWpHzmpyTcQ"
"570","UfvG18b6wlo"
"571","AB8GdDnd1tI"
"572","BnLbhdqdy64"
"573","QwbqiMktZfM"
"574","uJ4mfw3bVek"
"575","LCiekg3dAtE"
"576","jwEW9PE1fvM"
"577","9c2krazRvYw"
"578","nRgrGvT2p-k"
"579","VG8-0zs00sY"
"580","n2R8L2rlTCw"
"581","392sfHT-OgE"
"582","EmrGn_nM0n4"
"583","JX_OOyj_7jY"
"584","rgp6vVYJjSI"
"585","BAbJWq-O-h0"
"586","11q9dir2Nts"
"587","FfJ54jzdXSg"
"588","CUx1KxEzZe8"
"589","t5HOoNcsZqU"
"590","32MsZd0Bgp8"
"591","pBLae8reoUE"
"592","vVIDc7qxTMA"
"593","XwKHOtB7eds"
"594","NLLmB0IRL9Y"
"595","lr1Ut8nYe48"
"596","tgq_J3AWZYM"
"597","1AXYi8xno3w"
"598","XrjxVFzwEgI"
"599","_t-cmDH0yyM"
"600","VXWQJ9V6blo"
"601","KaqosNKdL3s"
"602","WAb3caPaHP8"
"603","qa5Tz-NMJEY"
"604","W63INqN7hpc"
"605","cE0GrPqNAzs"
"606","8xj6SR0ghlw"
"607","bnMU-4raF5E"
