"","video_id","publishedAt","title","description","id","viewCount","likeCount","favoriteCount","commentCount"
"135","5qmXc0PxWHY",2022-05-12,"Saagar Enjeti: Media BLAMES AMERICANS For Historic Gas Inflation","Saagar dismantles the media coverage around inflation that blamed the American people instead of President Biden or politicians ...","5qmXc0PxWHY",111397,5601,0,852
"136","RQFe9TBIVpg",2022-08-04,"CNN Profits PLUNGE Amid Terrible Ratings | Breaking Points with Krystal and Saagar","Krystal and Saagar report on CNN's coming profit losses and ratings drop that has the network in free fall To become a Breaking ...","RQFe9TBIVpg",65089,2863,0,318
"137","ogM-Jc6Tcg0",2022-04-02,"Chris Hedges RESPONDS to YouTube ERASING His Show | Breaking Points with Krystal and Saagar","Krystal and Saagar defend longtime journalist Chris Hedges after his show was censored by big tech for being aired on RT and ...","ogM-Jc6Tcg0",80406,4794,0,775
"138","89IXmaTggLQ",2022-07-26,"Ex-Congressman INDICTED For Insider Trading | Breaking Points with Krystal and Saagar","Krystal and Saagar discuss the indictment of an ex-congressman for insider trading and the need to go after sitting members who ...","89IXmaTggLQ",47795,2114,0,437
"139","ccAhZgH7_K8",2022-07-06,"Crypto Company BUYS RadioShack With CRINGE Twitter Results | Breaking Points with Krystal and Saagar","Krystal and Saagar discuss RadioShack becoming a crypto company with a large twitter account as a reflection of the larger shifts ...","ccAhZgH7_K8",69528,2402,0,388
"140","KVYbONeIct0",2022-05-25,"Psaki Officially Joins MSNBC With DOOMED Streaming Show | Breaking Points with Krystal and Saagar","Krystal and Saagar offer their perspective on former White House Press Secretary Jen Psaki's arrival at MSNBC that will see her ...","KVYbONeIct0",110094,3215,0,429
"141","ar25mByCPUU",2022-06-21,"Putin MOCKS Biden, West For &#39;Putin&#39;s Price Hike&#39; | Breaking Points with Krystal and Saagar","Krystal and Saagar respond to a speech delivered by Russian strongman Vladimir Putin at a conference where he mocked Joe ...","ar25mByCPUU",97367,3448,0,797
"142","M3I0yI16rwU",2022-07-11,"Biden Defends PATHETIC Saudi Capitulation | Breaking Points with Krystal and Saagar","Krystal and Saagar cover Joe Biden's coming trip to Saudi Arabia that he justified in an op-ed defending his capitulation after ...","M3I0yI16rwU",65643,2596,0,573
"143","Bb1GjspMZhQ",2022-07-08,"Andrew Schulz REVEALS Why He Won&#39;t Censor New Special, Bets On People | Breaking Points","Saagar interviews stand up comedian Andrew Schulz who bought back his new special when a streamer tried to censor his ...","Bb1GjspMZhQ",219969,12105,0,1003
"144","YatRxH8_fAs",2022-06-16,"GOP WINS MAJORITY Latino House Seat In South Texas | Breaking Points with Krystal and Saagar","Krystal and Saagar cover the latino realignment happening in Texas politics that propelled a GOP candidate to win a special ...","YatRxH8_fAs",132202,4825,0,1636
"145","L11-ty7Fb2w",2022-08-05,"Liberal Economist Touts &#39;Biden Boom&#39; Online | Breaking Points with Krystal and Saagar","Krystal and Saagar take a look at liberal economist Paul Krugman's claim that America is seeing a Biden boom rather than ...","L11-ty7Fb2w",63433,2517,0,783
"146","0SzWOP8bMOE",2022-06-20,"Bitcoin CRASHES Below 20K For First Time In Years | Breaking Points with Krystal and Saagar","Krystal and Saagar update viewers on the state of crypto markets that saw Bitcoin drop below the 20K mark for the first time in ...","0SzWOP8bMOE",92066,2909,0,869
